feature,score,anova_f,mutual_info,rfe_rank
Glucose,1.0,245.66785541650492,0.1261214936759225,1
BMI,0.5156225143707032,82.75294973928949,0.09020538861258065,2
Age,0.2663677770964664,46.140611238735865,0.04625407527070524,4
DiabetesPedigreeFunction,0.20751995570690368,23.871300204344593,0.018933325810566837,3
Pregnancies,0.16566114033056306,39.670227393616116,0.021251782680533182,6
Insulin,0.1552266148238418,17.26275997272029,0.035375399825238185,8
SkinThickness,0.14819894750131993,28.3962771222583,0.023702291729764013,7
BloodPressure,0.14582540265518268,21.631579805760936,0.016568059901844512,5
