feature,N,k,SSB,SSW,MSB,MSW,F,p_value,t_stat,t_p
Pregnancies,768,2,428.7990188121892,8279.762179104477,428.7990188121892,10.809089006663807,39.6702273936161,5.065127298053447e-10,-5.906961479497492,6.821925600457103e-09
Glucose,768,2,170689.42195662297,613375.0350746268,170689.42195662297,800.7506985308444,213.16175217803837,8.93543164528993e-43,-13.751537067396413,2.644161349540232e-36
BloodPressure,768,2,1216.6275685634396,286137.82946268655,1216.6275685634396,373.5480802384942,3.25695039788901,0.07151390009776083,-1.7130865949770784,0.08735424821461572
SkinThickness,768,2,1090.6510472636799,194090.32811940298,1090.6510472636799,253.3816293986984,4.304380905008429,0.038347704820491185,-1.9705792220450487,0.049355860086480206
Insulin,768,2,173608.97567226368,10013056.144119404,173608.97567226368,13071.874861774679,13.281107531096268,0.00028618646036032084,-3.3008947714793337,0.001046928652831344
BMI,768,2,4084.4714406856383,43592.23625462687,4084.4714406856383,56.908924614395396,71.77207210224547,1.229807487311606e-16,-8.619316881357946,6.566237624708347e-17
DiabetesPedigreeFunction,768,2,2.544678626697914,81.655536622,2.544678626697914,0.1065999172610966,23.871300204344422,1.2546070101488068e-06,-4.576812008291278,6.100481424240337e-06
Age,768,2,6026.69515314055,100051.74104477614,6026.69515314055,130.61584992790617,46.1406112387356,2.209975460665418e-11,-6.92073837898804,1.2015125273113389e-11
